VEH_SER_NO,PREPAINT_CAB,OFFLINE,CHASSIS_LINE_2,CHASSIS_LINE_1,PREPAINT_CHASSIS,FINAL_CAB,PAINT_MGR
ACM236,0,2,2,20,0,0,0
ADQ781,0,3,2,5,3,1,0
AGU058,0,6,0,14,3,2,0
AHC421,4,0,0,0,0,0,0
AHN391,0,5,5,7,2,4,0
AHO963,6,0,0,0,0,0,0
AJF195,0,2,3,12,6,1,0
AKC912,0,5,2,9,4,3,0
ALE837,0,4,0,18,9,2,0
ALP937,0,2,0,11,1,2,0
AMZ845,0,8,0,16,4,2,0
APZ612,0,8,0,15,12,4,0
AQG261,0,0,0,0,2,3,1
ARS065,0,8,0,4,2,1,0
ATG468,0,0,5,6,6,1,0
AYO527,0,8,1,5,3,1,0
BDV695,0,3,0,0,0,0,0
BEC741,0,5,1,4,0,0,0
BEM390,0,2,0,10,5,4,0
BHK490,0,2,0,13,1,1,0
BIP389,0,10,0,5,2,4,0
BJM584,0,1,3,8,1,2,0
BKS051,3,0,0,0,0,0,0
BRL042,0,8,0,5,2,2,0
BTO107,0,9,0,0,0,0,0
BYF840,0,0,0,0,1,0,0
CFO213,0,0,0,0,2,0,0
CJQ075,0,1,1,8,1,0,0
CMI143,0,0,5,13,3,2,0
CNE620,0,0,0,3,0,0,0
CNZ205,0,2,2,10,3,3,0
CQO892,0,8,2,12,0,0,0
CQU695,0,5,1,11,3,2,0
CSD174,0,4,0,3,1,2,0
CSM507,0,4,2,10,4,2,0
CSV482,0,2,0,4,3,1,0
CSW718,0,3,3,6,1,1,0
CVE258,0,4,1,12,3,3,0
CXD285,0,3,1,10,2,3,0
CYB497,5,0,0,0,0,0,0
DAJ581,0,0,0,2,1,2,0
DBW217,0,3,0,0,0,0,0
DFZ024,0,2,0,12,3,4,0
DHQ490,0,0,0,2,0,0,0
DJZ516,0,7,7,22,2,2,0
DKE275,0,0,0,0,4,0,0
DKW659,0,0,4,8,0,3,0
DPA037,0,1,0,12,6,3,0
DPH631,0,4,2,9,4,5,0
DPI547,8,0,0,0,0,0,0
DPL397,0,5,3,9,2,1,0
DRY562,0,0,0,6,0,0,0
DTP539,0,2,0,5,4,0,0
DUT829,0,0,0,4,3,2,0
DVM139,0,13,0,17,8,2,0
DWK315,0,3,3,7,0,0,0
DZO637,0,1,0,5,3,0,0
DZV145,0,5,0,4,1,2,0
